citation_context,masked_cit_context,masked_token_target
"ars, data driven parsing has achieved considerable success. The availability of phrase structure treebank for English has seen the development of many efficient parsers. Unlike English, many Indian (Hindi, Bangla, Telugu, etc.) languages are free-word-order and are also morphologically rich. It has been suggested that free-word-order languages can be handled better using the dependency based framework than the constituency based one (Bharati et al., 1995). Due to the availability of dependency treebanks, there are several recent attempts at building dependency parsers. Two CoNLL shared tasks ( Buchholz and Marsi, 2006 ; Nivre et al., 2007b) were held aiming at building state-of-the-art dependency parsers for different languages. Recently in two ICON Tools Contest (Husain, 2009; Husain et al., 2010), rule-based, constraint based, statistical and hybrid approaches were explored towards building dependency parsers for three Indian languages namely, Telugu, Hindi and Bangla. In all these efforts, state-of-the-art accuracies are obtained by two data-driven parsers, namely, Malt (Nivre et al., 2007a) and MST (McDonald et al., 2006). We first explored Malt and MST parsers. Considering pros of both these parsers, w","ars, data driven parsing has achieved considerable success. The availability of phrase structure treebank for English has seen the development of many efficient parsers. Unlike English, many Indian (Hindi, Bangla, Telugu, etc.) languages are free-word-order and are also morphologically rich. It has been suggested that free-word-order languages can be handled better using the dependency based framework than the constituency based one (Bharati et al., 1995). Due to the availability of dependency treebanks, there are several recent attempts at building dependency parsers. Two CoNLL shared tasks ( <mask> ; Nivre et al., 2007b) were held aiming at building state-of-the-art dependency parsers for different languages. Recently in two ICON Tools Contest (Husain, 2009; Husain et al., 2010), rule-based, constraint based, statistical and hybrid approaches were explored towards building dependency parsers for three Indian languages namely, Telugu, Hindi and Bangla. In all these efforts, state-of-the-art accuracies are obtained by two data-driven parsers, namely, Malt (Nivre et al., 2007a) and MST (McDonald et al., 2006). We first explored Malt and MST parsers. Considering pros of both these parsers, w","Buchholz and Marsi, 2006"
" Given a sentence pair (sI1, tJ1) and its word alignment, we compute two confidence metrics at alignment link level – based on the posterior link probability and a simple IBM Model 1 as seen in Equation 13. We select the alignment links that the initial word aligner is least confident according to our metric and seek manual correction of the links. We use t2s to denote computation using higher order (IBM4) target-givensource models and s2t to denote source-given-target models. Targeting some of the uncertain parts of word alignment has already been shown to improve translation quality in SMT ( Huang, 2009 ). In our current work, we use confidence metrics as an active learning sampling strategy to obtain most informative links. We also experiment with other confidence metrics as discussed in (Ueffing and Ney, 2007), especially the IBM 1 model score metric which showed some improvement as well. Pt2s(aij,tJ1/sI) = pt2s(�/si,aij C A)(11) Ei pt2s(tj/si) Ps2t(aij, Ei pt2s(tj/si) 2 * Pt2s * Ps2t Conf(aij/S, T) = (13) Pt2s + Ps2t 5.3 Agreement Based: Query by Committee The generative alignments produced differ based on the choice of direction of the language pair. We use As2t to denote alignment in the "," Given a sentence pair (sI1, tJ1) and its word alignment, we compute two confidence metrics at alignment link level – based on the posterior link probability and a simple IBM Model 1 as seen in Equation 13. We select the alignment links that the initial word aligner is least confident according to our metric and seek manual correction of the links. We use t2s to denote computation using higher order (IBM4) target-givensource models and s2t to denote source-given-target models. Targeting some of the uncertain parts of word alignment has already been shown to improve translation quality in SMT ( <mask> ). In our current work, we use confidence metrics as an active learning sampling strategy to obtain most informative links. We also experiment with other confidence metrics as discussed in (Ueffing and Ney, 2007), especially the IBM 1 model score metric which showed some improvement as well. Pt2s(aij,tJ1/sI) = pt2s(�/si,aij C A)(11) Ei pt2s(tj/si) Ps2t(aij, Ei pt2s(tj/si) 2 * Pt2s * Ps2t Conf(aij/S, T) = (13) Pt2s + Ps2t 5.3 Agreement Based: Query by Committee The generative alignments produced differ based on the choice of direction of the language pair. We use As2t to denote alignment in the ","Huang, 2009"
" from http://berkeley.worldcat.org . 63 Figure 3: University of Chicago digital library interface using faceted navigation, using an interface from AquaBrowser. to NLP, including: • How to automatically or semi-automatically create rich subject-oriented faceted metadata for scholarly text? • How to automatically assign information items to faceted category labels? This paper describes the results of applying Castanet, a semi-automated approach to creating faceted metadata, to a scholarly collection. (In past work it has been shown to work well on a different kind of text (Stoica et al., 2007;  Stoica and Hearst, 2004 ).) It then discusses some open problems in building navigation structures for scholarly digital libraries. 2 Creating Faceted Metadata This section first defines faceted metadata, and then describes the CastaNet algorithm. More details about the algorithm can be found in a prior publication (Stoica et al., 2007). Rather than one large category hierarchy, faceted metadata consists of a set of categories (flat or hierarchical), each of which corresponds to a different facet (dimension or feature type) relevant to the collection to be navigated. After the facets are designed, each item in the col"," from http://berkeley.worldcat.org . 63 Figure 3: University of Chicago digital library interface using faceted navigation, using an interface from AquaBrowser. to NLP, including: • How to automatically or semi-automatically create rich subject-oriented faceted metadata for scholarly text? • How to automatically assign information items to faceted category labels? This paper describes the results of applying Castanet, a semi-automated approach to creating faceted metadata, to a scholarly collection. (In past work it has been shown to work well on a different kind of text (Stoica et al., 2007;  <mask> ).) It then discusses some open problems in building navigation structures for scholarly digital libraries. 2 Creating Faceted Metadata This section first defines faceted metadata, and then describes the CastaNet algorithm. More details about the algorithm can be found in a prior publication (Stoica et al., 2007). Rather than one large category hierarchy, faceted metadata consists of a set of categories (flat or hierarchical), each of which corresponds to a different facet (dimension or feature type) relevant to the collection to be navigated. After the facets are designed, each item in the col","Stoica and Hearst, 2004"
"2005) improved information retrieval based on pattern recognition by introducing paraphrase generation. In order to produce paraphrases, a promising approach is to see the paraphrase generation problem as a translation problem, where the target language is the same as the source language (Quirk et al., 2004; Bannard and Callison-Burch, 2005). A problem that has drawn less attention is the generation step which corresponds to the decoding step in SMT. Most paraphrase generation tools use some standard SMT decoding algorithms (Quirk et al., 2004) or some off-the-shelf decoding tools like MOSES ( Koehn et al., 2007 ). The goal of a decoder is to find the best path in the lattice produced from a paraphrase table. This is basically achieved by using dynamic programming and especially the Iiterbi algorithm associated with beam searching. However decoding algorithms were designed for translation, not for paraphrase generation. Although left-to-right decoding is justified for translation, it may not be necessary for paraphrase generation. A paraphrase generation tool usually starts with a sentence which may be very similar to some potential solution. In other words, there is no need to &quot;translate&quot; all of the s","2005) improved information retrieval based on pattern recognition by introducing paraphrase generation. In order to produce paraphrases, a promising approach is to see the paraphrase generation problem as a translation problem, where the target language is the same as the source language (Quirk et al., 2004; Bannard and Callison-Burch, 2005). A problem that has drawn less attention is the generation step which corresponds to the decoding step in SMT. Most paraphrase generation tools use some standard SMT decoding algorithms (Quirk et al., 2004) or some off-the-shelf decoding tools like MOSES ( <mask> ). The goal of a decoder is to find the best path in the lattice produced from a paraphrase table. This is basically achieved by using dynamic programming and especially the Iiterbi algorithm associated with beam searching. However decoding algorithms were designed for translation, not for paraphrase generation. Although left-to-right decoding is justified for translation, it may not be necessary for paraphrase generation. A paraphrase generation tool usually starts with a sentence which may be very similar to some potential solution. In other words, there is no need to &quot;translate&quot; all of the s","Koehn et al., 2007"
" improve protein coreference resolution system. Concerning the PRON type, Table 8 shows that except for that-1, no other figures are higher than 50 percent f-score. This is an interesting observation because pronominal anaphora problem has been reported with much higher results on other domains(Raghunathan et al., 2010), and also on other bio data (hsiang Lin and Liang, 2004). One of the reasons for the low recall is because target anaphoric pronouns in the bio domain are neutralgender and third-person pronouns(Nguyen and Kim, 2008), which are difficult to resolve than other types of pronouns( Stoyanov et al., 2010 a). 8.3 Protein coreference analysis - Intermediate antecedent As mentioned in the task setting, anaphors can directly link to their antecedent, or indirectly link via one or more intermediate antecedents. We counted the numbers of correct direct and indirect protein coreference links in each submission (Table 12). 80 Sub type Type Count Sub type Type Count Sub type Type Count both 1 PRON 2 both 2 PRON 4 either 1 PRON 0 it 1 PRON 17 its 1 PRON 61 one 2 PRON 1 such 2 DNP 2 that 1 RELAT 37 the 2 DNP 20 their 1 PRON 27 them 1 PRON 1 these 1 PRON 1 these 2 DNP 26 they 1 PRON 5 this 1 PRON 1 this 2"," improve protein coreference resolution system. Concerning the PRON type, Table 8 shows that except for that-1, no other figures are higher than 50 percent f-score. This is an interesting observation because pronominal anaphora problem has been reported with much higher results on other domains(Raghunathan et al., 2010), and also on other bio data (hsiang Lin and Liang, 2004). One of the reasons for the low recall is because target anaphoric pronouns in the bio domain are neutralgender and third-person pronouns(Nguyen and Kim, 2008), which are difficult to resolve than other types of pronouns( <mask> a). 8.3 Protein coreference analysis - Intermediate antecedent As mentioned in the task setting, anaphors can directly link to their antecedent, or indirectly link via one or more intermediate antecedents. We counted the numbers of correct direct and indirect protein coreference links in each submission (Table 12). 80 Sub type Type Count Sub type Type Count Sub type Type Count both 1 PRON 2 both 2 PRON 4 either 1 PRON 0 it 1 PRON 17 its 1 PRON 61 one 2 PRON 1 such 2 DNP 2 that 1 RELAT 37 the 2 DNP 20 their 1 PRON 27 them 1 PRON 1 these 1 PRON 1 these 2 DNP 26 they 1 PRON 5 this 1 PRON 1 this 2","Stoyanov et al., 2010"
"ored for sentence selection. The supervised approaches include the Bayesian classifier (Kupiec et al., 1995), maximum entropy (Osborne, 2002), skip-chain conditional random fields (CRF) (Galley, 2006), discriminative reranking (Aker et al., 2010), among others. The extractive summary sentence selection problem can also be formulated in an optimization framework. Previous approaches include the integer linear programming (ILP) and submodular functions, which are used to solve the optimization problem. In particular, Gillick et al. (2009) proposed a concept-based ILP approach for summarization.  Li et al., 2013 ) improved it by using supervised stragety to estimate concept weight in ILP framework. In (Lin and Bilmes, 2010), the authors model the sentence selection problem as maximizing a submodular function under a budget constraint. A greedy algorithm is proposed to efficiently approximate the solution to this NP-hard problem. Compressive summarization receives increasing attention in recent years, since it offers a viable step towards abstractive summarization. The compressed summaries can be generated through a joint model of the sentence selection and compression processes, or through a pipeline a","ored for sentence selection. The supervised approaches include the Bayesian classifier (Kupiec et al., 1995), maximum entropy (Osborne, 2002), skip-chain conditional random fields (CRF) (Galley, 2006), discriminative reranking (Aker et al., 2010), among others. The extractive summary sentence selection problem can also be formulated in an optimization framework. Previous approaches include the integer linear programming (ILP) and submodular functions, which are used to solve the optimization problem. In particular, Gillick et al. (2009) proposed a concept-based ILP approach for summarization.  <mask> ) improved it by using supervised stragety to estimate concept weight in ILP framework. In (Lin and Bilmes, 2010), the authors model the sentence selection problem as maximizing a submodular function under a budget constraint. A greedy algorithm is proposed to efficiently approximate the solution to this NP-hard problem. Compressive summarization receives increasing attention in recent years, since it offers a viable step towards abstractive summarization. The compressed summaries can be generated through a joint model of the sentence selection and compression processes, or through a pipeline a","Li et al., 2013"
"ence between these translations. Incorporating K-Best parsing into our pipeline may help mitigate against such cases. This preliminary experiment suggests that there is potential for future improvements in machine translation using cross-lingual distributional semantics. The system only attempts to rerank a very small proportion of sentences, but we believe the coverage could be greatly improved by including relations between common nouns (rather than just namedentities)—future work should explore this. 8 Related Work Our work builds on recent progress in monolingual distributional semantics ( Poon and Domingos, 2009 ; Yao et al., 2011; Lewis and Steedman, 2013) by 688 Source Le Princess Elizabeth arrive a` Dunkerque le 3 aoˆut 1999 Machine translation 1-best Le Princess Elizabeth is to manage to Dunkirk on 3 August 1999 Reranked translation The Princess Elizabeth arrives at Dunkirk on 3 August 1999 Table 4: Example sentence that is reranked by our clusters. Human evaluators were asked which translation best preserved the meaning between Princess Elizabeth and Dunkirk. clustering typed predicates into those which are semantically equivalent. We also show how to bootstrap semantic information about entities","ence between these translations. Incorporating K-Best parsing into our pipeline may help mitigate against such cases. This preliminary experiment suggests that there is potential for future improvements in machine translation using cross-lingual distributional semantics. The system only attempts to rerank a very small proportion of sentences, but we believe the coverage could be greatly improved by including relations between common nouns (rather than just namedentities)—future work should explore this. 8 Related Work Our work builds on recent progress in monolingual distributional semantics ( <mask> ; Yao et al., 2011; Lewis and Steedman, 2013) by 688 Source Le Princess Elizabeth arrive a` Dunkerque le 3 aoˆut 1999 Machine translation 1-best Le Princess Elizabeth is to manage to Dunkirk on 3 August 1999 Reranked translation The Princess Elizabeth arrives at Dunkirk on 3 August 1999 Table 4: Example sentence that is reranked by our clusters. Human evaluators were asked which translation best preserved the meaning between Princess Elizabeth and Dunkirk. clustering typed predicates into those which are semantically equivalent. We also show how to bootstrap semantic information about entities","Poon and Domingos, 2009"
"simplify frame creation. 1 Introduction Recent years have witnessed a surge in available automated resources for the Arabic language.1 These resources can now be exploited by the computational linguistics community with the aim of improving the automatic processing of Arabic. This paper discusses semantic labeling. Shallow approaches to semantic processing are making large advances in the direction of efficiently and effectively deriving application relevant explicit semantic information from text (Pradhan et al., 2003; Gildea and Palmer, 2002; Pradhan et al., 2004; Gildea and Jurafsky, 2002;  Xue and Palmer, 2004 ; Chen and Rambow, 2003; Carreras and Marquez, 2005; Moschitti, 2004; Moschitti et al., 2005; Diab et al., 2008). Indeed, the existence of semantically annotated resources in English such as FrameNet (Baker et al., 1998) and PropBank (Kingsbury and Palmer, 2003; Palmer et al., 2005) corpora have marked a surge in efficient approaches to automatic se1 In this paper, we use Arabic to refer to Modern Standard Arabic (MSA). mantic labeling of the English language. For example, in the English sentence, ‘John enjoys movies’, the predicate is ‘enjoys’ and the first argument, the subject, is ‘John’, a","simplify frame creation. 1 Introduction Recent years have witnessed a surge in available automated resources for the Arabic language.1 These resources can now be exploited by the computational linguistics community with the aim of improving the automatic processing of Arabic. This paper discusses semantic labeling. Shallow approaches to semantic processing are making large advances in the direction of efficiently and effectively deriving application relevant explicit semantic information from text (Pradhan et al., 2003; Gildea and Palmer, 2002; Pradhan et al., 2004; Gildea and Jurafsky, 2002;  <mask> ; Chen and Rambow, 2003; Carreras and Marquez, 2005; Moschitti, 2004; Moschitti et al., 2005; Diab et al., 2008). Indeed, the existence of semantically annotated resources in English such as FrameNet (Baker et al., 1998) and PropBank (Kingsbury and Palmer, 2003; Palmer et al., 2005) corpora have marked a surge in efficient approaches to automatic se1 In this paper, we use Arabic to refer to Modern Standard Arabic (MSA). mantic labeling of the English language. For example, in the English sentence, ‘John enjoys movies’, the predicate is ‘enjoys’ and the first argument, the subject, is ‘John’, a","Xue and Palmer, 2004"
"lly generated errors (approx. 351,517 tokens in 18,830 sentences). The original correct sentences are a subset of the CLC and come from examinations at different proficiency levels. The artificial error generation method aims at replicating frequent error patterns observed in the NUCLE corpus on error-free sentences, as described by Yuan and Felice (2013). 3Sentences were automatically scraped from http:// www.englishprofile.org/index.php?option= com_content&view=article&id=4&Itemid=5 16 Word alignment was carried out using pialign (Neubig et al., 2011), after we found it outperformed GIZA++ ( Och and Ney, 2000 ; Och and Ney, 2003) and Berkeley Aligner (Liang et al., 2006; DeNero and Klein, 2007) in terms of precision and F0.5 on the development set. Instead of using heuristics to extract phrases from the word alignments learnt by GIZA++ or Berkerley Aligner, pialign created a phrase table directly from model probabilities. In addition to the features already defined by pialign, we added character-level Levenshtein distance to each mapping in the phrase table. This was done to allow for the fact that, in error correction, most words translate into themselves and errors are often similar to their corr","lly generated errors (approx. 351,517 tokens in 18,830 sentences). The original correct sentences are a subset of the CLC and come from examinations at different proficiency levels. The artificial error generation method aims at replicating frequent error patterns observed in the NUCLE corpus on error-free sentences, as described by Yuan and Felice (2013). 3Sentences were automatically scraped from http:// www.englishprofile.org/index.php?option= com_content&view=article&id=4&Itemid=5 16 Word alignment was carried out using pialign (Neubig et al., 2011), after we found it outperformed GIZA++ ( <mask> ; Och and Ney, 2003) and Berkeley Aligner (Liang et al., 2006; DeNero and Klein, 2007) in terms of precision and F0.5 on the development set. Instead of using heuristics to extract phrases from the word alignments learnt by GIZA++ or Berkerley Aligner, pialign created a phrase table directly from model probabilities. In addition to the features already defined by pialign, we added character-level Levenshtein distance to each mapping in the phrase table. This was done to allow for the fact that, in error correction, most words translate into themselves and errors are often similar to their corr","Och and Ney, 2000"
"boundaries with “/” and expressions that establish local coherence with square brackets. This is one of many possible optimal solutions, which have cost 2 because of the two NOCB transitions at the very start of the discourse. Details on the comparison of different centering-based coherence measures are discussed by Karamanis et al. (2004). 6 Comparison to Other Approaches There are two approaches in the literature that are similar enough to ours that a closer comparison is in order. The first is a family of algorithms for discourse ordering based on genetic programming (Mellish et al., 1998;  Karamanis and Manurung, 2002 ). This is a very flexible and powerful approach, which can be applied to measures of local coherence that do not seem to fit in our framework trivially. For example, the measure from (Mellish et al., 1998) looks at the entire discourse up to the current transition for some of their cost factors. However, our algorithm is several orders of magnitude faster where a direct comparison is possible (Manurung, p.c.), and it is guaranteed to find an optimal ordering. The nonapproximability result for TSP means that a genetic (or any other) algorithm which is restricted to polynomial runtime could theo","boundaries with “/” and expressions that establish local coherence with square brackets. This is one of many possible optimal solutions, which have cost 2 because of the two NOCB transitions at the very start of the discourse. Details on the comparison of different centering-based coherence measures are discussed by Karamanis et al. (2004). 6 Comparison to Other Approaches There are two approaches in the literature that are similar enough to ours that a closer comparison is in order. The first is a family of algorithms for discourse ordering based on genetic programming (Mellish et al., 1998;  <mask> ). This is a very flexible and powerful approach, which can be applied to measures of local coherence that do not seem to fit in our framework trivially. For example, the measure from (Mellish et al., 1998) looks at the entire discourse up to the current transition for some of their cost factors. However, our algorithm is several orders of magnitude faster where a direct comparison is possible (Manurung, p.c.), and it is guaranteed to find an optimal ordering. The nonapproximability result for TSP means that a genetic (or any other) algorithm which is restricted to polynomial runtime could theo","Karamanis and Manurung, 2002"
" data and that it is more robust than self-training, we evaluate new co-training strategies for opinion detection. Third, to approach domain transfer using SSL, assuming that SSL can overcome the problem of domain-specific features by gradually introducing targeted data and thus diminishing bias from the non-target data set. 4 SSL Experiments Our research treats opinion detection as a binary classification problem with two categories: subjective sentences and objective sentences. It is evaluated in terms of classification accuracy. Since a document is normally a mixture of facts and opinions ( Wiebe et al., 2001 ), sub-document level opinion detection is more useful and meaningful than document-level opinion detection. Thus, we conduct all experiments on the sentence level. The remainder of this section explains the data sets and tools used in this study and presents the experimental design and parameter settings. 4.1 Data Sets Three types of data sets have been explored in opinion detection studies: news articles, online reviews, and online discourse in blogs or discussion forums. These three types of text differ from one another in 202 terms of structure, text genre (e.g., level of formality), and pr"," data and that it is more robust than self-training, we evaluate new co-training strategies for opinion detection. Third, to approach domain transfer using SSL, assuming that SSL can overcome the problem of domain-specific features by gradually introducing targeted data and thus diminishing bias from the non-target data set. 4 SSL Experiments Our research treats opinion detection as a binary classification problem with two categories: subjective sentences and objective sentences. It is evaluated in terms of classification accuracy. Since a document is normally a mixture of facts and opinions ( <mask> ), sub-document level opinion detection is more useful and meaningful than document-level opinion detection. Thus, we conduct all experiments on the sentence level. The remainder of this section explains the data sets and tools used in this study and presents the experimental design and parameter settings. 4.1 Data Sets Three types of data sets have been explored in opinion detection studies: news articles, online reviews, and online discourse in blogs or discussion forums. These three types of text differ from one another in 202 terms of structure, text genre (e.g., level of formality), and pr","Wiebe et al., 2001"
"frequency data. Korhonen (2002) refines Briscoe and Carroll (1997)’s system using back-off estimates on the WordNet semantic class of the verb’s predominant sense, assuming that semantically similar verbs have similar SCFs, following Levin (1993). Some current statistical methods for Semantic Role Labelling build models that also capture subcategorisation information, e.g., Grenager and Manning (2006). Schulte im Walde (2009) offers a recent survey of the SCF acquisition literature. SCF acquisition is also an important step in the automatic semantic role labelling (Grenager and Manning, 2006;  Lang and Lapata, 2010 ; Titov and Klementiev, 2012). Semantic roles of a verb describe the kind of involvement of entities in the event introduced by the verb, e.g., as agent (active, often not affected by the event) or patient (passive, often affected). On the basis of these SCFs, semantic roles can be assigned due to the interdependence between semantic roles and their syntactic realisations, called Argument Linking (Levin, 1993; Levin and Rappaport Hovav, 2005). Acquiring SCFs for languages with a very fixed word order like English needs only a simple syntactic analysis, which mainly relies on the predetermined ","frequency data. Korhonen (2002) refines Briscoe and Carroll (1997)’s system using back-off estimates on the WordNet semantic class of the verb’s predominant sense, assuming that semantically similar verbs have similar SCFs, following Levin (1993). Some current statistical methods for Semantic Role Labelling build models that also capture subcategorisation information, e.g., Grenager and Manning (2006). Schulte im Walde (2009) offers a recent survey of the SCF acquisition literature. SCF acquisition is also an important step in the automatic semantic role labelling (Grenager and Manning, 2006;  <mask> ; Titov and Klementiev, 2012). Semantic roles of a verb describe the kind of involvement of entities in the event introduced by the verb, e.g., as agent (active, often not affected by the event) or patient (passive, often affected). On the basis of these SCFs, semantic roles can be assigned due to the interdependence between semantic roles and their syntactic realisations, called Argument Linking (Levin, 1993; Levin and Rappaport Hovav, 2005). Acquiring SCFs for languages with a very fixed word order like English needs only a simple syntactic analysis, which mainly relies on the predetermined ","Lang and Lapata, 2010"
"learn from. Future work should consider whether it is possible to flatten the distribution of training data, perhaps using more knowledge or active learning methods for NLG (Mairesse et al. 2010). Another limitation of the current approach is that we assume the existence of a generation dictionary containing syntactic templates that, in some cases, express various pragmatic effects, even though most of PERSONAGE’s variation is generated automatically. Our dictionary is currently handcrafted, but future work could build on research on methods for extracting the generation dictionary from data ( Barzilay and Lee, 2002 ; Higashinaka, Walker, and Prasad 2007; Snyder and Barzilay 2007). Finally, it is likely that both the accuracy and coverage of parameter estimation models could be improved with a larger sample of judges and random utterances at development time. A larger number of judges would also smooth out rating inconsistencies and individual differences in personality perception, thus allowing the direct modeling of laypeople’s perceptions by removing the need for expert judges. Another important area for future work is to explore the interface between the language generator and the dialogue manager and","learn from. Future work should consider whether it is possible to flatten the distribution of training data, perhaps using more knowledge or active learning methods for NLG (Mairesse et al. 2010). Another limitation of the current approach is that we assume the existence of a generation dictionary containing syntactic templates that, in some cases, express various pragmatic effects, even though most of PERSONAGE’s variation is generated automatically. Our dictionary is currently handcrafted, but future work could build on research on methods for extracting the generation dictionary from data ( <mask> ; Higashinaka, Walker, and Prasad 2007; Snyder and Barzilay 2007). Finally, it is likely that both the accuracy and coverage of parameter estimation models could be improved with a larger sample of judges and random utterances at development time. A larger number of judges would also smooth out rating inconsistencies and individual differences in personality perception, thus allowing the direct modeling of laypeople’s perceptions by removing the need for expert judges. Another important area for future work is to explore the interface between the language generator and the dialogue manager and","Barzilay and Lee, 2002"
"antic information of words, leading to success in a wide range of tasks, such as sequence tagging, sentiment analysis, and parsing (Collobert et al., 2011; Maas et al., 2011; Socher et al., 2013a; Chen and Manning, 2014). As a natural extension, being able to learn representations for larger language structures such as phrases or sentences, has also been of interest to the community lately, for instance (Socher et al., 2013b; Le and Mikolov, 2014). In the multilingual context, most of the recent work in bilingual representation learning such as (Klementiev et al., 2012; Mikolov et al., 2013b;  Zou et al., 2013 ; Hermann and Blunsom, 2014; Koˇcisk´y et al., 2014; Gouws et al., 2014) only focus on learning embeddings for words and use simple functions, e.g., idf-weighted sum, to synthesize representations for larger text sequences from their word members. In contrast, our work aims to learn representations for phrases and sentences as a whole so as to represent non-compositional meanings. In essence, we extend the paragraph vector approach proposed by Le and Mikolov (2014) to the bilingual context to efficiently encode meaningequivalent multi-word sequences in the same semantic space. Our method only ","antic information of words, leading to success in a wide range of tasks, such as sequence tagging, sentiment analysis, and parsing (Collobert et al., 2011; Maas et al., 2011; Socher et al., 2013a; Chen and Manning, 2014). As a natural extension, being able to learn representations for larger language structures such as phrases or sentences, has also been of interest to the community lately, for instance (Socher et al., 2013b; Le and Mikolov, 2014). In the multilingual context, most of the recent work in bilingual representation learning such as (Klementiev et al., 2012; Mikolov et al., 2013b;  <mask> ; Hermann and Blunsom, 2014; Koˇcisk´y et al., 2014; Gouws et al., 2014) only focus on learning embeddings for words and use simple functions, e.g., idf-weighted sum, to synthesize representations for larger text sequences from their word members. In contrast, our work aims to learn representations for phrases and sentences as a whole so as to represent non-compositional meanings. In essence, we extend the paragraph vector approach proposed by Le and Mikolov (2014) to the bilingual context to efficiently encode meaningequivalent multi-word sequences in the same semantic space. Our method only ","Zou et al., 2013"
"ay, month; various measurements such as weight, money, percentage; contact information like address, web-page, phone-number, etc. This is one of the fundamental layers of information extraction of our QA system. The NER module is based on a combination of user defined rules based on Lesk word disambiguation (Lesk, 1988), WordNet (Miller, 1995) lookups, and many userdefined dictionary lookups, e.g. renown places, people, job types, organization names, etc. During the NER extraction, we also employ phrase analysis based on our phrase utility extraction method using Standford dependency parser (( Klein and Manning, 2003 )). We can categorize entities up to 6 coarse and 50 fine categories to match them with the NER types from QC module. Phrase Identification(PI): Our PI module undertakes basic syntactic analysis (shallow parsing) and establishes simple, un-embedded linguistic structures such as noun-phrases (NN), basic prepositional phrases (PP) or verb groups (VG). In particular PI module is based on 56 different semantic structures identified in Standford dependency parser in order to extract meaningful compound words from sentences, e.g., ”They heard high pitched cries.”. Each phrase is identified with a hea","ay, month; various measurements such as weight, money, percentage; contact information like address, web-page, phone-number, etc. This is one of the fundamental layers of information extraction of our QA system. The NER module is based on a combination of user defined rules based on Lesk word disambiguation (Lesk, 1988), WordNet (Miller, 1995) lookups, and many userdefined dictionary lookups, e.g. renown places, people, job types, organization names, etc. During the NER extraction, we also employ phrase analysis based on our phrase utility extraction method using Standford dependency parser (( <mask> )). We can categorize entities up to 6 coarse and 50 fine categories to match them with the NER types from QC module. Phrase Identification(PI): Our PI module undertakes basic syntactic analysis (shallow parsing) and establishes simple, un-embedded linguistic structures such as noun-phrases (NN), basic prepositional phrases (PP) or verb groups (VG). In particular PI module is based on 56 different semantic structures identified in Standford dependency parser in order to extract meaningful compound words from sentences, e.g., ”They heard high pitched cries.”. Each phrase is identified with a hea","Klein and Manning, 2003"
"r surface words, part-of-speech tags, and dependency trees, and learn the preference of features via adjusting feature weights. *Corresponding author In the supervised learning scenarios, many previous studies explore rich feature representation that leads to significant improvements. McDonald and Pereira (2006) and Carreras (2007) define secondorder features over two adjacent arcs in secondorder graph-based models. Koo and Collins (2010) use third-order features in a third-order graph-based model. Bohnet (2010) considers information of more surrounding words for the graph-based models, while  Zhang and Nivre, 2011 ) define a set of rich features including the word valency and the third-order context features for transition-based models. All these models utilize richer and more complex feature representations and achieve better performance than the earlier models that utilize the simpler features (McDonald et al., 2005; Yamada and Matsumoto, 2003; Nivre and Scholz, 2004). However, the richer feature representations result in a high-dimensional feature space. Features in such a space may suffer from the data sparseness problem and thus have less discriminative power on unseen data. If input sentences conta","r surface words, part-of-speech tags, and dependency trees, and learn the preference of features via adjusting feature weights. *Corresponding author In the supervised learning scenarios, many previous studies explore rich feature representation that leads to significant improvements. McDonald and Pereira (2006) and Carreras (2007) define secondorder features over two adjacent arcs in secondorder graph-based models. Koo and Collins (2010) use third-order features in a third-order graph-based model. Bohnet (2010) considers information of more surrounding words for the graph-based models, while  <mask> ) define a set of rich features including the word valency and the third-order context features for transition-based models. All these models utilize richer and more complex feature representations and achieve better performance than the earlier models that utilize the simpler features (McDonald et al., 2005; Yamada and Matsumoto, 2003; Nivre and Scholz, 2004). However, the richer feature representations result in a high-dimensional feature space. Features in such a space may suffer from the data sparseness problem and thus have less discriminative power on unseen data. If input sentences conta","Zhang and Nivre, 2011"
